ENTITY ID | FRIENDLY NAME
binary_sensor.stern_cloud_verbindung | Cloud-Verbindung
binary_sensor.stern_uberhitzt | Überhitzt
button.stern_neu_starten | Neu starten
number.stern_ausschalten_in | Ausschalten in
sensor.stern_signalpegel | Signalpegel
sensor.stern_signalstarke | Signalstärke
sensor.stern_ssid | SSID
sensor.stern_ein_seit | Ein seit
sensor.stern_gerateuhrzeit | Geräteuhrzeit
sensor.stern_automatische_abschaltung_um | Automatische Abschaltung um
switch.stern_2 | Unknown
switch.stern_automatische_abschaltung_aktiviert | Automatische Abschaltung aktiviert
switch.stern_led | LED
device_tracker.wsbc025075114s_fcb9 | Unknown
sensor.wsbc025075114s_fcb9_signalstarke | Signalstärke
sensor.wsbc025075114s_fcb9_leistung | Leistung
sensor.wsbc025075114s_fcb9_geschatzte_entfernung | Geschätzte Entfernung
sensor.wsbc025075114s_fcb9_hersteller | Hersteller
sensor.smart_scale_c1_gewicht | Gewicht
sensor.smart_scale_c1_echtzeitgewicht | Echtzeitgewicht
device_tracker.drivedot_1392_5b8f | Unknown
sensor.drivedot_1392_5b8f_signalstarke | Signalstärke
sensor.drivedot_1392_5b8f_leistung | Leistung
sensor.drivedot_1392_5b8f_geschatzte_entfernung | Geschätzte Entfernung
sensor.drivedot_1392_5b8f_hersteller | Hersteller
device_tracker.drivedot_7213_1ec7 | Unknown
sensor.drivedot_7213_1ec7_signalstarke | Signalstärke
sensor.drivedot_7213_1ec7_leistung | Leistung
sensor.drivedot_7213_1ec7_geschatzte_entfernung | Geschätzte Entfernung
sensor.drivedot_7213_1ec7_hersteller | Hersteller
sensor.presence_sensor_fp2_f9cf_light_sensor_light_level | Presence-Sensor-FP2-F9CF Light Sensor Light Level
binary_sensor.presence_sensor_fp2_f9cf_presence_sensor_1 | Presence-Sensor-FP2-F9CF Presence Sensor 1
binary_sensor.presence_sensor_fp2_f9cf_presence_sensor_2 | Presence-Sensor-FP2-F9CF Presence Sensor 2
binary_sensor.presence_sensor_fp2_f9cf_presence_sensor_3 | Presence-Sensor-FP2-F9CF Presence Sensor 3
binary_sensor.presence_sensor_fp2_f9cf_presence_sensor_4 | Presence-Sensor-FP2-F9CF Presence Sensor 4
binary_sensor.presence_sensor_fp2_f9cf_presence_sensor_5 | Presence-Sensor-FP2-F9CF Presence Sensor 5
button.presence_sensor_fp2_f9cf_identify | Presence-Sensor-FP2-F9CF Identify
alarm_control_panel.aqara_hub_e1_ec77_security_system | Aqara-Hub-E1-EC77 Security System
button.aqara_hub_e1_ec77_identify | Aqara-Hub-E1-EC77 Identify
button.contact_sensor_identify | Contact Sensor Identify
button.button_identify | Button Identify
button.water_leak_sensor_identify | Water Leak Sensor Identify
sensor.contact_sensor_battery_sensor | Contact Sensor Battery Sensor
